,customerid,birthdate,bank_account_type,bank_name_clients_Access Bank,bank_name_clients_Diamond Bank,bank_name_clients_EcoBank,bank_name_clients_FCMB,bank_name_clients_Fidelity Bank,bank_name_clients_First Bank,bank_name_clients_GT Bank,bank_name_clients_Heritage Bank,bank_name_clients_Keystone Bank,bank_name_clients_Skye Bank,bank_name_clients_Stanbic IBTC,bank_name_clients_Standard Chartered,bank_name_clients_Sterling Bank,bank_name_clients_UBA,bank_name_clients_Union Bank,bank_name_clients_Unity Bank,bank_name_clients_Wema Bank,bank_name_clients_Zenith Bank
0,8a858e135cb22031015cbafc76964ebd,45,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,8a858e275c7ea5ec015c82482d7c3996,32,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,8a858e5b5bd99460015bdc95cd485634,31,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8a858efd5ca70688015cabd1f1e94b55,27,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,8a858e785acd3412015acd48f4920d04,36,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,8a858f045bc9690c015bca251e9a4e95,40,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,8a858ea05a859123015a8892914d15b7,28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8a858f275c451af5015c546a50ce55ed,32,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,8a858f405d13c45f015d13dd93ec0c1c,26,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8a858f735c161bda015c164d86632026,53,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8a858f2a5ce989dd015ce9fc24b1474b,24,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,8a858f3a5c10828d015c109746d20aee,48,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,8a858fb4563228d201564fd7519f22a8,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,8a858e9d59e0997b0159eae2e4fa7611,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,8a858f955a61ad4e015a69ee1edd0d3d,32,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,8a858ff25a6a19ee015a6abff5ed659c,30,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
