,customerid,systemloanid,loannumber,loanamount,totaldue,termdays,good_bad_flag
0,8a2a81a74ce8c05d014cfb32a0da1049,301994762,12,30000.0,34500.0,30,Good
1,8a85886e54beabf90154c0a29ae757c0,301965204,2,15000.0,17250.0,30,Good
2,8a8588f35438fe12015444567666018e,301966580,7,20000.0,22250.0,15,Good
3,8a85890754145ace015429211b513e16,301999343,3,10000.0,11500.0,15,Good
4,8a858970548359cc0154883481981866,301962360,9,40000.0,44000.0,30,Good
5,8a8589f35451855401546b0738c42524,301986516,8,30000.0,39000.0,60,Good
6,8a858e095c59b91b015c5e5cea3719bc,301972027,3,10000.0,13000.0,30,Good
7,8a858e1158dc4d830158f7bde4f47ea7,301994428,10,30000.0,34500.0,30,Good
8,8a858e185b4923b4015b4ae48d28646a,301996687,4,10000.0,11500.0,15,Good
9,8a858e1d5cd58f9e015ceda4bdb63673,301981931,2,10000.0,11500.0,15,Good
10,8a858e245c214660015c2ba8187976f7,301962365,2,10000.0,13000.0,30,Good
11,8a858e345bd96da8015be6b9f8bc10c7,301960371,3,10000.0,13000.0,30,Bad
12,8a858e395cb1d4d9015cb236b4811cbc,301999914,2,10000.0,11500.0,15,Good
13,8a858e4456ced8470156dc8f1f4038d3,301995555,11,40000.0,44000.0,30,Good
14,8a858e5357d823010157d932443d28a3,301983540,13,40000.0,44000.0,30,Good
15,8a858e5b5bd99460015bdf725e143ff4,301967889,3,10000.0,13000.0,30,Good
16,8a858e645755e62201576b58e3522081,301958834,3,10000.0,11500.0,15,Good
17,8a858e6c5bd3fbff015bd408ac3e067a,301993535,2,10000.0,11500.0,15,Bad
18,8a858e705668e16701567f1523211e5a,301985106,15,40000.0,44000.0,30,Good
19,8a858e7d595026f8015951c0c4a03fae,301959458,10,30000.0,34500.0,30,Good
20,8a858e885c17687c015c19eead6338fd,301964283,3,10000.0,13000.0,30,Good
21,8a858e8f5d41c974015d4b7f31865627,302003432,2,10000.0,11500.0,15,Bad
22,8a858e9b5a195041015a1a602a51519d,301976439,7,25000.0,28750.0,30,Good
23,8a858ea555d9e6020155f489c9b237f8,301973446,3,10000.0,13000.0,30,Good
24,8a858eb05d2d1297015d313b03581809,301999087,2,10000.0,13000.0,30,Good
25,8a858eb85c1be44c015c1c4b667d25ee,301963210,3,10000.0,13000.0,30,Good
26,8a858ec75bfd77c4015c0d841520351c,301959286,4,20000.0,24500.0,30,Good
27,8a858ed35cc5ce51015cc60f40f522b4,301981535,2,10000.0,11500.0,15,Good
28,8a858edb5ad79cc6015ad7c9b29415c8,301981500,5,20000.0,22250.0,15,Good
29,8a858ee55830c4b90158337542ab18a1,301972649,6,10000.0,13000.0,30,Bad
30,8a858eec5ca21dcb015ca2493dee1e2d,301966278,2,10000.0,13000.0,30,Good
31,8a858ef75997d0180159a695b01e2c4c,301989547,5,20000.0,24500.0,30,Good
32,8a858f03582604ff0158260fcc730548,302001370,10,20000.0,24500.0,30,Good
33,8a858f085b905684015b906e73a01478,302000465,4,20000.0,24500.0,30,Good
34,8a858f1955b1c4df0155cd14c5b478ed,302000569,2,10000.0,13000.0,30,Good
35,8a858f2656e154de0156e3a87cdc45fb,301982122,5,20000.0,22250.0,15,Good
36,8a858f2e5c699f3a015c6cf27a036477,301959225,2,10000.0,13000.0,30,Good
37,8a858f335cd0c78e015cd435d7192800,301984674,2,10000.0,11500.0,15,Good
38,8a858f3d5add42e2015ae0ca6cb66b83,301998400,8,30000.0,34500.0,30,Good
39,8a858f4655ca643c0155cbc4e13945cc,301965090,15,40000.0,44000.0,30,Good
40,8a858f4f5511dca201551b73634170b6,301997295,4,10000.0,13000.0,30,Good
41,8a858f555cc65d60015cc72de106320c,301974694,2,10000.0,13000.0,30,Good
42,8a858f5e599783c0015997c56ef70ffa,302001086,3,10000.0,11500.0,15,Good
43,8a858f60560bc43d01561d94abd91c48,301991908,4,10000.0,11500.0,15,Good
44,8a858f6e5aa3c922015aa3d9cba10a74,301983676,5,20000.0,22250.0,15,Good
45,8a858f785cea234f015cea434e0a09e6,301974590,2,10000.0,13000.0,30,Good
46,8a858f7e564ad338015654d3a5c242a5,301969110,8,30000.0,34500.0,30,Good
47,8a858f9158aff6a30158b5f2ff887585,301985845,9,20000.0,22250.0,15,Good
48,8a858f975c4582c4015c550ee4925686,301998392,3,10000.0,13000.0,30,Good
49,8a858f995a4762a5015a4c25b0ea01c3,301981230,6,20000.0,24500.0,30,Good
50,8a858fa45bd95e9a015be131cdec35a8,301962952,3,10000.0,13000.0,30,Good
51,8a858fae5b49223f015b499e1cf9485b,301982904,4,10000.0,13000.0,30,Bad
52,8a858fb15b34a708015b350c4a1a58d2,301994303,4,20000.0,24500.0,30,Good
53,8a858fba5cd5feee015cda4f0fa423b4,301991730,2,10000.0,11500.0,15,Good
54,8a858fc55b2fde30015b30c9256b43fd,302001637,5,20000.0,24500.0,30,Good
55,8a858fcb5ca240f7015ca64a71fa1951,301960154,2,10000.0,13000.0,30,Good
56,8a858fd45a4260bc015a42ac9e89278d,301961250,5,20000.0,24500.0,30,Good
57,8a858fd95c3b5bca015c3fcc0b374c3e,301968227,2,10000.0,13000.0,30,Good
58,8a85882953bc04f80153c205b75d7403,301990784,8,40000.0,48000.0,60,Good
59,8a8588dc536a14130153753dc8d32698,301961089,17,40000.0,44000.0,30,Good
60,8a8588fd53c244bc0153c8305ea7338f,301966060,4,20000.0,22250.0,15,Bad
61,8a85895054a061920154a909b1a76c1d,301973229,12,30000.0,34500.0,30,Good
