,systemloanid,loannumber,loanamount,totaldue,termdays,good_bad_flag,bank_account_type,birthdate,bank_name_clients_Access Bank,bank_name_clients_Diamond Bank,bank_name_clients_EcoBank,bank_name_clients_FCMB,bank_name_clients_Fidelity Bank,bank_name_clients_First Bank,bank_name_clients_GT Bank,bank_name_clients_Heritage Bank,bank_name_clients_Keystone Bank,bank_name_clients_Skye Bank,bank_name_clients_Stanbic IBTC,bank_name_clients_Standard Chartered,bank_name_clients_Sterling Bank,bank_name_clients_UBA,bank_name_clients_Union Bank,bank_name_clients_Unity Bank,bank_name_clients_Wema Bank,bank_name_clients_Zenith Bank
0,301994762,12,30000.0,34500.0,30,1,3.0,46.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,301965204,2,15000.0,17250.0,30,1,2.0,33.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,301966580,7,20000.0,22250.0,15,1,3.0,34.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,301999343,3,10000.0,11500.0,15,1,2.0,41.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,301962360,9,40000.0,44000.0,30,1,3.0,32.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,301986516,8,30000.0,39000.0,60,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,301972027,3,10000.0,13000.0,30,1,2.0,29.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,301994428,10,30000.0,34500.0,30,1,2.0,31.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,301996687,4,10000.0,11500.0,15,1,2.0,31.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,301981931,2,10000.0,11500.0,15,1,2.0,34.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,301962365,2,10000.0,13000.0,30,1,2.0,35.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,301960371,3,10000.0,13000.0,30,0,2.0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,301999914,2,10000.0,11500.0,15,1,2.0,53.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
