,customerid,systemloanid,loannumber,loanamount,totaldue,termdays
0,8a2a81a74ce8c05d014cfb32a0da1049,301682320,2,10000.0,13000.0,30
1,8a2a81a74ce8c05d014cfb32a0da1049,301883808,9,10000.0,13000.0,30
2,8a2a81a74ce8c05d014cfb32a0da1049,301831714,8,20000.0,23800.0,30
3,8a8588f35438fe12015444567666018e,301861541,5,10000.0,11500.0,15
4,8a85890754145ace015429211b513e16,301941754,2,10000.0,11500.0,15
5,8a858970548359cc0154883481981866,301832407,5,20000.0,23800.0,30
6,8a858970548359cc0154883481981866,301926513,8,30000.0,39000.0,60
7,8a8589f35451855401546b0738c42524,301912443,6,20000.0,24500.0,30
8,8a858e095c59b91b015c5e5cea3719bc,301936857,2,10000.0,13000.0,30
9,8a858e1158dc4d830158f7bde4f47ea7,301811291,3,10000.0,11500.0,15
10,8a858e1158dc4d830158f7bde4f47ea7,301873260,7,30000.0,34400.0,30
11,8a858e185b4923b4015b4ae48d28646a,301905582,1,10000.0,11500.0,15
12,8a858e345bd96da8015be6b9f8bc10c7,301916835,2,10000.0,13000.0,30
13,8a858e4456ced8470156dc8f1f4038d3,301817710,5,20000.0,21900.0,15
14,8a858e4456ced8470156dc8f1f4038d3,301878488,8,30000.0,34400.0,30
15,8a858e4456ced8470156dc8f1f4038d3,301845779,7,30000.0,34400.0,30
16,8a858e5357d823010157d932443d28a3,301769628,3,10000.0,11500.0,15
17,8a858e5357d823010157d932443d28a3,301823070,8,30000.0,34400.0,30
18,8a858e5357d823010157d932443d28a3,301746324,1,10000.0,13000.0,30
19,8a858e645755e62201576b58e3522081,301893833,2,10000.0,13000.0,30
20,8a858e705668e16701567f1523211e5a,301760203,7,30000.0,34400.0,30
21,8a858e705668e16701567f1523211e5a,301773842,8,30000.0,34400.0,30
22,8a858e705668e16701567f1523211e5a,301743521,5,20000.0,22250.0,15
23,8a858e7d595026f8015951c0c4a03fae,301821269,4,20000.0,21900.0,15
24,8a858e7d595026f8015951c0c4a03fae,301849357,7,30000.0,34400.0,30
25,8a858e7d595026f8015951c0c4a03fae,301838900,6,20000.0,21900.0,15
26,8a858e9b5a195041015a1a602a51519d,301841389,2,10000.0,11500.0,15
27,8a858e9b5a195041015a1a602a51519d,301934962,5,20000.0,22250.0,15
28,8a858eb05d2d1297015d313b03581809,301990473,1,10000.0,13000.0,30
29,8a858ec75bfd77c4015c0d841520351c,301924078,2,10000.0,11500.0,15
